Measurement Axis	P(outcome=01)_0.000000	P(outcome=01)_0.040000	P(outcome=01)_0.080000	P(outcome=01)_0.120000	P(outcome=01)_0.160000	P(outcome=01)_0.200000	P(outcome=01)_0.240000	P(outcome=01)_0.280000	P(outcome=01)_0.320000	P(outcome=01)_0.360000	P(outcome=01)_0.400000	P(outcome=01)_0.440000	P(outcome=01)_0.480000	P(outcome=01)_0.520000	P(outcome=01)_0.560000	P(outcome=01)_0.600000	P(outcome=01)_0.640000	P(outcome=01)_0.680000	P(outcome=01)_0.720000	P(outcome=01)_0.760000	P(outcome=01)_0.800000	P(outcome=01)_0.840000	P(outcome=01)_0.880000	P(outcome=01)_0.920000	P(outcome=01)_0.960000	P(outcome=01)_1.000000	P(outcome=01)_1.040000	P(outcome=01)_1.080000	P(outcome=01)_1.120000	P(outcome=01)_1.160000	P(outcome=01)_1.200000	P(outcome=01)_1.240000	P(outcome=01)_1.280000	P(outcome=01)_1.320000	P(outcome=01)_1.360000	P(outcome=01)_1.400000	P(outcome=01)_1.440000	P(outcome=01)_1.480000	P(outcome=01)_1.520000	P(outcome=01)_1.560000	P(outcome=01)_1.600000	P(outcome=01)_1.640000	P(outcome=01)_1.680000	P(outcome=01)_1.720000	P(outcome=01)_1.760000	P(outcome=01)_1.800000	P(outcome=01)_1.840000	P(outcome=01)_1.880000	P(outcome=01)_1.920000	P(outcome=01)_1.960000	P(outcome=01)_2.000000	P(outcome=01)_2.040000	P(outcome=01)_2.080000	P(outcome=01)_2.120000	P(outcome=01)_2.160000	P(outcome=01)_2.200000	P(outcome=01)_2.240000	P(outcome=01)_2.280000	P(outcome=01)_2.320000	P(outcome=01)_2.360000	P(outcome=01)_2.400000	P(outcome=01)_2.440000	P(outcome=01)_2.480000	P(outcome=01)_2.520000	P(outcome=01)_2.560000	P(outcome=01)_2.600000	P(outcome=01)_2.640000	P(outcome=01)_2.680000	P(outcome=01)_2.720000	P(outcome=01)_2.760000	P(outcome=01)_2.800000	P(outcome=01)_2.840000	P(outcome=01)_2.880000	P(outcome=01)_2.920000	P(outcome=01)_2.960000	P(outcome=01)_3.000000	P(outcome=01)_3.040000	P(outcome=01)_3.080000	P(outcome=01)_3.120000	P(outcome=01)_3.160000	P(outcome=01)_3.200000	P(outcome=01)_3.240000	P(outcome=01)_3.280000	P(outcome=01)_3.320000	P(outcome=01)_3.360000	P(outcome=01)_3.400000	P(outcome=01)_3.440000	P(outcome=01)_3.480000	P(outcome=01)_3.520000	P(outcome=01)_3.560000	P(outcome=01)_3.600000	P(outcome=01)_3.640000	P(outcome=01)_3.680000	P(outcome=01)_3.720000	P(outcome=01)_3.760000	P(outcome=01)_3.800000	P(outcome=01)_3.840000	P(outcome=01)_3.880000	P(outcome=01)_3.920000	P(outcome=01)_3.960000	P(outcome=01)_4.000000	
XX:	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	0.250000	
XY:	0.250000	0.263543	0.276279	0.288217	0.299368	0.309742	0.319353	0.328213	0.336338	0.343744	0.350447	0.356468	0.361824	0.366537	0.370628	0.374121	0.377038	0.379403	0.381242	0.382578	0.383438	0.383847	0.383830	0.383414	0.382623	0.381484	0.380021	0.378259	0.376222	0.373933	0.371417	0.368694	0.365788	0.362719	0.359507	0.356172	0.352732	0.349205	0.345607	0.341956	0.338265	0.334550	0.330823	0.327098	0.323384	0.319695	0.316039	0.312426	0.308864	0.305361	0.301923	0.298558	0.295271	0.292067	0.288949	0.285923	0.282990	0.280155	0.277418	0.274782	0.272249	0.269818	0.267491	0.265267	0.263146	0.261129	0.259213	0.257399	0.255684	0.254067	0.252547	0.251121	0.249788	0.248546	0.247391	0.246322	0.245336	0.244431	0.243603	0.242851	0.242171	0.241560	0.241017	0.240537	0.240118	0.239758	0.239453	0.239201	0.238998	0.238843	0.238733	0.238664	0.238635	0.238642	0.238684	0.238758	0.238862	0.238993	0.239149	0.239328	0.239527	
XZ:	0.000000	0.000381	0.001488	0.003271	0.005680	0.008665	0.012179	0.016174	0.020605	0.025430	0.030605	0.036090	0.041848	0.047842	0.054036	0.060399	0.066899	0.073506	0.080194	0.086937	0.093710	0.100492	0.107262	0.114000	0.120689	0.127314	0.133858	0.140308	0.146652	0.152880	0.158980	0.164945	0.170765	0.176435	0.181948	0.187298	0.192483	0.197497	0.202338	0.207003	0.211492	0.215802	0.219934	0.223886	0.227661	0.231258	0.234679	0.237926	0.241000	0.243905	0.246641	0.249214	0.251625	0.253878	0.255977	0.257925	0.259727	0.261386	0.262907	0.264294	0.265552	0.266685	0.267698	0.268595	0.269381	0.270061	0.270639	0.271121	0.271510	0.271812	0.272031	0.272171	0.272238	0.272235	0.272167	0.272038	0.271853	0.271615	0.271329	0.270998	0.270627	0.270218	0.269776	0.269304	0.268804	0.268282	0.267738	0.267177	0.266601	0.266013	0.265415	0.264810	0.264200	0.263587	0.262973	0.262361	0.261750	0.261145	0.260545	0.259953	0.259370	
YX:	0.250000	0.236459	0.223735	0.211829	0.200734	0.190444	0.180947	0.172232	0.164282	0.157081	0.150610	0.144846	0.139769	0.135353	0.131574	0.128407	0.125824	0.123797	0.122301	0.121305	0.120783	0.120706	0.121045	0.121774	0.122864	0.124289	0.126021	0.128036	0.130306	0.132809	0.135520	0.138416	0.141476	0.144677	0.148000	0.151426	0.154936	0.158512	0.162139	0.165801	0.169482	0.173171	0.176854	0.180520	0.184157	0.187755	0.191307	0.194802	0.198234	0.201596	0.204882	0.208087	0.211205	0.214233	0.217167	0.220005	0.222744	0.225381	0.227917	0.230348	0.232676	0.234900	0.237020	0.239037	0.240950	0.242762	0.244474	0.246087	0.247603	0.249023	0.250351	0.251588	0.252736	0.253799	0.254778	0.255676	0.256496	0.257241	0.257914	0.258517	0.259053	0.259525	0.259936	0.260289	0.260587	0.260832	0.261027	0.261176	0.261280	0.261342	0.261365	0.261352	0.261304	0.261225	0.261117	0.260982	0.260822	0.260639	0.260435	0.260213	0.259974	
YY:	0.250000	0.249272	0.247282	0.244296	0.240558	0.236280	0.231652	0.226838	0.221982	0.217204	0.212605	0.208269	0.204261	0.200632	0.197421	0.194651	0.192338	0.190485	0.189090	0.188142	0.187624	0.187516	0.187792	0.188425	0.189384	0.190637	0.192152	0.193896	0.195838	0.197944	0.200184	0.202530	0.204952	0.207425	0.209925	0.212430	0.214918	0.217373	0.219778	0.222119	0.224384	0.226563	0.228648	0.230632	0.232511	0.234280	0.235938	0.237483	0.238917	0.240240	0.241454	0.242563	0.243570	0.244480	0.245295	0.246022	0.246666	0.247232	0.247725	0.248151	0.248515	0.248822	0.249078	0.249288	0.249457	0.249589	0.249688	0.249760	0.249807	0.249833	0.249842	0.249837	0.249820	0.249795	0.249762	0.249725	0.249684	0.249643	0.249601	0.249559	0.249520	0.249484	0.249450	0.249420	0.249395	0.249373	0.249356	0.249343	0.249334	0.249329	0.249329	0.249332	0.249339	0.249349	0.249362	0.249377	0.249395	0.249415	0.249437	0.249460	0.249484	
YZ:	0.000000	0.000360	0.001333	0.002779	0.004581	0.006646	0.008899	0.011283	0.013757	0.016290	0.018866	0.021474	0.024114	0.026789	0.029509	0.032286	0.035133	0.038068	0.041105	0.044260	0.047549	0.050986	0.054581	0.058344	0.062285	0.066406	0.070713	0.075204	0.079878	0.084730	0.089754	0.094942	0.100282	0.105764	0.111372	0.117093	0.122909	0.128805	0.134763	0.140765	0.146792	0.152827	0.158850	0.164845	0.170794	0.176679	0.182485	0.188196	0.193798	0.199276	0.204619	0.209814	0.214851	0.219720	0.224414	0.228925	0.233247	0.237374	0.241304	0.245032	0.248558	0.251880	0.254998	0.257913	0.260627	0.263141	0.265460	0.267586	0.269524	0.271278	0.272854	0.274258	0.275495	0.276571	0.277494	0.278269	0.278903	0.279404	0.279778	0.280033	0.280175	0.280211	0.280149	0.279994	0.279754	0.279436	0.279045	0.278588	0.278071	0.277499	0.276879	0.276215	0.275513	0.274778	0.274014	0.273226	0.272418	0.271594	0.270758	0.269914	0.269064	
ZX:	0.500000	0.499513	0.498104	0.495852	0.492834	0.489121	0.484783	0.479889	0.474502	0.468682	0.462487	0.455971	0.449184	0.442175	0.434987	0.427662	0.420238	0.412751	0.405233	0.397714	0.390221	0.382780	0.375413	0.368140	0.360979	0.353948	0.347060	0.340329	0.333765	0.327378	0.321177	0.315168	0.309357	0.303748	0.298346	0.293153	0.288170	0.283398	0.278839	0.274490	0.270351	0.266421	0.262697	0.259176	0.255856	0.252733	0.249803	0.247061	0.244505	0.242129	0.239927	0.237897	0.236031	0.234325	0.232774	0.231372	0.230114	0.228993	0.228005	0.227144	0.226405	0.225781	0.225267	0.224858	0.224548	0.224332	0.224204	0.224160	0.224194	0.224301	0.224476	0.224715	0.225012	0.225364	0.225765	0.226212	0.226700	0.227225	0.227783	0.228371	0.228985	0.229621	0.230277	0.230948	0.231633	0.232328	0.233030	0.233738	0.234448	0.235158	0.235867	0.236571	0.237270	0.237962	0.238645	0.239317	0.239977	0.240625	0.241258	0.241876	0.242479	
ZY:	0.500000	0.526577	0.550493	0.571749	0.590368	0.606400	0.619909	0.630980	0.639709	0.646205	0.650586	0.652976	0.653505	0.652306	0.649514	0.645263	0.639687	0.632918	0.625084	0.616310	0.606715	0.596414	0.585516	0.574124	0.562334	0.550236	0.537915	0.525448	0.512905	0.500352	0.487847	0.475443	0.463186	0.451119	0.439277	0.427693	0.416392	0.405400	0.394733	0.384407	0.374435	0.364825	0.355583	0.346713	0.338217	0.330093	0.322341	0.314955	0.307932	0.301265	0.294946	0.288968	0.283323	0.278001	0.272993	0.268290	0.263880	0.259755	0.255904	0.252316	0.248983	0.245893	0.243037	0.240406	0.237989	0.235778	0.233763	0.231936	0.230288	0.228811	0.227496	0.226335	0.225322	0.224447	0.223705	0.223088	0.222590	0.222203	0.221922	0.221740	0.221651	0.221650	0.221730	0.221887	0.222114	0.222408	0.222763	0.223173	0.223636	0.224145	0.224697	0.225288	0.225913	0.226569	0.227252	0.227959	0.228685	0.229428	0.230184	0.230951	0.231726	
ZZ:	0.000000	0.000761	0.002968	0.006504	0.011243	0.017057	0.023815	0.031389	0.039650	0.048475	0.057746	0.067350	0.077180	0.087140	0.097139	0.107093	0.116930	0.126583	0.135994	0.145114	0.153901	0.162320	0.170342	0.177948	0.185122	0.191853	0.198138	0.203977	0.209373	0.214335	0.218872	0.223000	0.226733	0.230089	0.233088	0.235748	0.238093	0.240142	0.241917	0.243441	0.244733	0.245816	0.246710	0.247434	0.248006	0.248445	0.248767	0.248989	0.249124	0.249186	0.249188	0.249141	0.249055	0.248940	0.248804	0.248653	0.248495	0.248334	0.248176	0.248024	0.247881	0.247750	0.247633	0.247531	0.247445	0.247377	0.247325	0.247290	0.247271	0.247269	0.247281	0.247307	0.247347	0.247398	0.247460	0.247531	0.247611	0.247698	0.247790	0.247887	0.247987	0.248090	0.248195	0.248300	0.248404	0.248508	0.248610	0.248710	0.248806	0.248900	0.248990	0.249076	0.249157	0.249235	0.249308	0.249376	0.249440	0.249499	0.249554	0.249604	0.249651	
