Measurement Axis	P(outcome=11)_0.000000	P(outcome=11)_0.040000	P(outcome=11)_0.080000	P(outcome=11)_0.120000	P(outcome=11)_0.160000	P(outcome=11)_0.200000	P(outcome=11)_0.240000	P(outcome=11)_0.280000	P(outcome=11)_0.320000	P(outcome=11)_0.360000	P(outcome=11)_0.400000	P(outcome=11)_0.440000	P(outcome=11)_0.480000	P(outcome=11)_0.520000	P(outcome=11)_0.560000	P(outcome=11)_0.600000	P(outcome=11)_0.640000	P(outcome=11)_0.680000	P(outcome=11)_0.720000	P(outcome=11)_0.760000	P(outcome=11)_0.800000	P(outcome=11)_0.840000	P(outcome=11)_0.880000	P(outcome=11)_0.920000	P(outcome=11)_0.960000	P(outcome=11)_1.000000	P(outcome=11)_1.040000	P(outcome=11)_1.080000	P(outcome=11)_1.120000	P(outcome=11)_1.160000	P(outcome=11)_1.200000	P(outcome=11)_1.240000	P(outcome=11)_1.280000	P(outcome=11)_1.320000	P(outcome=11)_1.360000	P(outcome=11)_1.400000	P(outcome=11)_1.440000	P(outcome=11)_1.480000	P(outcome=11)_1.520000	P(outcome=11)_1.560000	P(outcome=11)_1.600000	P(outcome=11)_1.640000	P(outcome=11)_1.680000	P(outcome=11)_1.720000	P(outcome=11)_1.760000	P(outcome=11)_1.800000	P(outcome=11)_1.840000	P(outcome=11)_1.880000	P(outcome=11)_1.920000	P(outcome=11)_1.960000	P(outcome=11)_2.000000	P(outcome=11)_2.040000	P(outcome=11)_2.080000	P(outcome=11)_2.120000	P(outcome=11)_2.160000	P(outcome=11)_2.200000	P(outcome=11)_2.240000	P(outcome=11)_2.280000	P(outcome=11)_2.320000	P(outcome=11)_2.360000	P(outcome=11)_2.400000	P(outcome=11)_2.440000	P(outcome=11)_2.480000	P(outcome=11)_2.520000	P(outcome=11)_2.560000	P(outcome=11)_2.600000	P(outcome=11)_2.640000	P(outcome=11)_2.680000	P(outcome=11)_2.720000	P(outcome=11)_2.760000	P(outcome=11)_2.800000	P(outcome=11)_2.840000	P(outcome=11)_2.880000	P(outcome=11)_2.920000	P(outcome=11)_2.960000	P(outcome=11)_3.000000	P(outcome=11)_3.040000	P(outcome=11)_3.080000	P(outcome=11)_3.120000	P(outcome=11)_3.160000	P(outcome=11)_3.200000	P(outcome=11)_3.240000	P(outcome=11)_3.280000	P(outcome=11)_3.320000	P(outcome=11)_3.360000	P(outcome=11)_3.400000	P(outcome=11)_3.440000	P(outcome=11)_3.480000	P(outcome=11)_3.520000	P(outcome=11)_3.560000	P(outcome=11)_3.600000	P(outcome=11)_3.640000	P(outcome=11)_3.680000	P(outcome=11)_3.720000	P(outcome=11)_3.760000	P(outcome=11)_3.800000	P(outcome=11)_3.840000	P(outcome=11)_3.880000	P(outcome=11)_3.920000	P(outcome=11)_3.960000	P(outcome=11)_4.000000	
XX:	0.250000	0.249893	0.249593	0.249128	0.248526	0.247813	0.247016	0.246157	0.245258	0.244339	0.243417	0.242508	0.241627	0.240784	0.239990	0.239254	0.238581	0.237978	0.237446	0.236989	0.236608	0.236303	0.236072	0.235914	0.235825	0.235804	0.235847	0.235948	0.236104	0.236311	0.236563	0.236855	0.237184	0.237543	0.237930	0.238338	0.238763	0.239202	0.239651	0.240106	0.240564	0.241021	0.241475	0.241924	0.242364	0.242795	0.243214	0.243620	0.244012	0.244389	0.244750	0.245094	0.245422	0.245732	0.246026	0.246303	0.246563	0.246806	0.247034	0.247246	0.247443	0.247625	0.247795	0.247951	0.248094	0.248227	0.248348	0.248459	0.248561	0.248654	0.248739	0.248816	0.248887	0.248951	0.249010	0.249064	0.249113	0.249158	0.249200	0.249238	0.249273	0.249305	0.249336	0.249364	0.249390	0.249415	0.249439	0.249461	0.249482	0.249503	0.249522	0.249541	0.249559	0.249577	0.249594	0.249611	0.249627	0.249643	0.249658	0.249673	0.249688	
XY:	0.250000	0.263435	0.275858	0.287299	0.297792	0.307370	0.316069	0.323925	0.330976	0.337257	0.342807	0.347662	0.351858	0.355431	0.358416	0.360847	0.362758	0.364180	0.365145	0.365684	0.365825	0.365597	0.365026	0.364139	0.362961	0.361515	0.359825	0.357912	0.355798	0.353502	0.351042	0.348439	0.345708	0.342866	0.339929	0.336911	0.333827	0.330690	0.327512	0.324306	0.321081	0.317850	0.314621	0.311404	0.308208	0.305040	0.301907	0.298818	0.295778	0.292792	0.289867	0.287007	0.284217	0.281499	0.278859	0.276298	0.273819	0.271425	0.269117	0.266897	0.264766	0.262725	0.260774	0.258914	0.257144	0.255464	0.253874	0.252372	0.250958	0.249630	0.248388	0.247228	0.246151	0.245153	0.244233	0.243388	0.242617	0.241917	0.241286	0.240721	0.240220	0.239780	0.239400	0.239075	0.238803	0.238583	0.238411	0.238285	0.238203	0.238161	0.238157	0.238189	0.238255	0.238351	0.238477	0.238629	0.238805	0.239004	0.239223	0.239460	0.239713	
XZ:	0.000000	0.000381	0.001489	0.003275	0.005692	0.008693	0.012233	0.016268	0.020756	0.025656	0.030930	0.036537	0.042442	0.048609	0.055003	0.061592	0.068343	0.075227	0.082214	0.089276	0.096387	0.103523	0.110659	0.117774	0.124846	0.131856	0.138786	0.145619	0.152339	0.158932	0.165386	0.171688	0.177827	0.183795	0.189584	0.195185	0.200594	0.205804	0.210813	0.215616	0.220212	0.224600	0.228778	0.232747	0.236508	0.240062	0.243411	0.246559	0.249507	0.252260	0.254822	0.257197	0.259391	0.261407	0.263252	0.264931	0.266449	0.267813	0.269028	0.270101	0.271038	0.271845	0.272528	0.273093	0.273547	0.273895	0.274144	0.274299	0.274367	0.274353	0.274262	0.274101	0.273875	0.273588	0.273245	0.272852	0.272414	0.271934	0.271417	0.270867	0.270288	0.269684	0.269059	0.268416	0.267757	0.267087	0.266408	0.265723	0.265034	0.264344	0.263655	0.262970	0.262289	0.261615	0.260949	0.260294	0.259650	0.259018	0.258400	0.257797	0.257209	
YX:	0.250000	0.263435	0.275858	0.287299	0.297792	0.307370	0.316069	0.323925	0.330976	0.337257	0.342807	0.347662	0.351858	0.355431	0.358416	0.360847	0.362758	0.364180	0.365145	0.365684	0.365825	0.365597	0.365026	0.364139	0.362961	0.361515	0.359825	0.357912	0.355798	0.353502	0.351042	0.348439	0.345708	0.342866	0.339929	0.336911	0.333827	0.330690	0.327512	0.324306	0.321081	0.317850	0.314621	0.311404	0.308208	0.305040	0.301907	0.298818	0.295778	0.292792	0.289867	0.287007	0.284217	0.281499	0.278859	0.276298	0.273819	0.271425	0.269117	0.266897	0.264766	0.262725	0.260774	0.258914	0.257144	0.255464	0.253874	0.252372	0.250958	0.249630	0.248388	0.247228	0.246151	0.245153	0.244233	0.243388	0.242617	0.241917	0.241286	0.240721	0.240220	0.239780	0.239400	0.239075	0.238803	0.238583	0.238411	0.238285	0.238203	0.238161	0.238157	0.238189	0.238255	0.238351	0.238477	0.238629	0.238805	0.239004	0.239223	0.239460	0.239713	
YY:	0.250000	0.277706	0.304855	0.331220	0.356602	0.380832	0.403770	0.425300	0.445331	0.463797	0.480649	0.495861	0.509421	0.521335	0.531624	0.540317	0.547458	0.553098	0.557297	0.560120	0.561639	0.561927	0.561064	0.559128	0.556201	0.552363	0.547694	0.542275	0.536182	0.529491	0.522275	0.514603	0.506544	0.498160	0.489511	0.480653	0.471641	0.462522	0.453342	0.444143	0.434963	0.425837	0.416796	0.407869	0.399081	0.390455	0.382009	0.373761	0.365725	0.357913	0.350336	0.343002	0.335917	0.329086	0.322512	0.316198	0.310143	0.304348	0.298810	0.293529	0.288500	0.283721	0.279186	0.274892	0.270833	0.267004	0.263398	0.260011	0.256835	0.253864	0.251092	0.248512	0.246119	0.243904	0.241862	0.239986	0.238269	0.236706	0.235289	0.234013	0.232871	0.231857	0.230966	0.230191	0.229527	0.228968	0.228508	0.228143	0.227867	0.227674	0.227561	0.227521	0.227551	0.227645	0.227800	0.228010	0.228272	0.228581	0.228935	0.229328	0.229757	
YZ:	0.000000	0.000401	0.001644	0.003768	0.006791	0.010712	0.015513	0.021159	0.027605	0.034796	0.042669	0.051154	0.060177	0.069662	0.079531	0.089705	0.100109	0.110665	0.121303	0.131952	0.142548	0.153029	0.163340	0.173429	0.183251	0.192763	0.201931	0.210723	0.219114	0.227082	0.234612	0.241690	0.248310	0.254466	0.260159	0.265391	0.270167	0.274495	0.278387	0.281854	0.284912	0.287575	0.289861	0.291789	0.293375	0.294641	0.295605	0.296288	0.296709	0.296888	0.296845	0.296597	0.296164	0.295564	0.294814	0.293931	0.292929	0.291825	0.290632	0.289363	0.288032	0.286650	0.285228	0.283775	0.282301	0.280815	0.279323	0.277834	0.276353	0.274887	0.273439	0.272014	0.270617	0.269251	0.267918	0.266622	0.265363	0.264145	0.262968	0.261832	0.260740	0.259691	0.258686	0.257725	0.256807	0.255933	0.255102	0.254312	0.253565	0.252859	0.252192	0.251565	0.250976	0.250424	0.249909	0.249429	0.248982	0.248569	0.248187	0.247836	0.247515	
ZX:	0.000000	0.000381	0.001489	0.003275	0.005692	0.008693	0.012233	0.016268	0.020756	0.025656	0.030930	0.036537	0.042442	0.048609	0.055003	0.061592	0.068343	0.075227	0.082214	0.089276	0.096387	0.103523	0.110659	0.117774	0.124846	0.131856	0.138786	0.145619	0.152339	0.158932	0.165386	0.171688	0.177827	0.183795	0.189584	0.195185	0.200594	0.205804	0.210813	0.215616	0.220212	0.224600	0.228778	0.232747	0.236508	0.240062	0.243411	0.246559	0.249507	0.252260	0.254822	0.257197	0.259391	0.261407	0.263252	0.264931	0.266449	0.267813	0.269028	0.270101	0.271038	0.271845	0.272528	0.273093	0.273547	0.273895	0.274144	0.274299	0.274367	0.274353	0.274262	0.274101	0.273875	0.273588	0.273245	0.272852	0.272414	0.271934	0.271417	0.270867	0.270288	0.269684	0.269059	0.268416	0.267757	0.267087	0.266408	0.265723	0.265034	0.264344	0.263655	0.262970	0.262289	0.261615	0.260949	0.260294	0.259650	0.259018	0.258400	0.257797	0.257209	
ZY:	0.000000	0.000401	0.001644	0.003768	0.006791	0.010712	0.015513	0.021159	0.027605	0.034796	0.042669	0.051154	0.060177	0.069662	0.079531	0.089705	0.100109	0.110665	0.121303	0.131952	0.142548	0.153029	0.163340	0.173429	0.183251	0.192763	0.201931	0.210723	0.219114	0.227082	0.234612	0.241690	0.248310	0.254466	0.260159	0.265391	0.270167	0.274495	0.278387	0.281854	0.284912	0.287575	0.289861	0.291789	0.293375	0.294641	0.295605	0.296288	0.296709	0.296888	0.296845	0.296597	0.296164	0.295564	0.294814	0.293931	0.292929	0.291825	0.290632	0.289363	0.288032	0.286650	0.285228	0.283775	0.282301	0.280815	0.279323	0.277834	0.276353	0.274887	0.273439	0.272014	0.270617	0.269251	0.267918	0.266622	0.265363	0.264145	0.262968	0.261832	0.260740	0.259691	0.258686	0.257725	0.256807	0.255933	0.255102	0.254312	0.253565	0.252859	0.252192	0.251565	0.250976	0.250424	0.249909	0.249429	0.248982	0.248569	0.248187	0.247836	0.247515	
ZZ:	0.000000	0.000001	0.000009	0.000043	0.000129	0.000301	0.000596	0.001053	0.001711	0.002611	0.003789	0.005278	0.007110	0.009311	0.011901	0.014898	0.018312	0.022150	0.026414	0.031098	0.036196	0.041695	0.047578	0.053826	0.060414	0.067316	0.074505	0.081950	0.089618	0.097478	0.105494	0.113632	0.121859	0.130141	0.138444	0.146735	0.154983	0.163159	0.171233	0.179179	0.186971	0.194585	0.202002	0.209200	0.216163	0.222875	0.229324	0.235496	0.241384	0.246979	0.252276	0.257270	0.261960	0.266345	0.270425	0.274202	0.277681	0.280865	0.283760	0.286372	0.288709	0.290780	0.292593	0.294157	0.295482	0.296579	0.297458	0.298130	0.298606	0.298896	0.299012	0.298965	0.298765	0.298424	0.297952	0.297359	0.296655	0.295851	0.294956	0.293978	0.292927	0.291812	0.290640	0.289419	0.288157	0.286861	0.285536	0.284191	0.282829	0.281458	0.280081	0.278704	0.277332	0.275967	0.274615	0.273278	0.271960	0.270664	0.269391	0.268145	0.266928	
